Hour of day,Energy From the Grid (kWh),Energy To the Grid (kWh)
00,182.660,0.000
01,175.682,0.000
02,166.110,0.000
03,157.927,0.000
04,155.087,0.000
05,155.182,0.000
06,145.992,0.243
07,104.530,14.465
08,51.574,139.765
09,46.903,417.063
10,50.093,651.775
11,47.677,846.000
12,51.067,922.480
13,54.790,923.342
14,51.203,843.487
15,49.350,705.047
16,63.679,493.821
17,113.847,294.485
18,140.858,125.646
19,188.434,8.523
20,215.575,0.000
21,226.434,0.000
22,221.783,0.000
23,196.078,0.000
